job_name,raw_time,job_length_seconds
3DS_LIB,0:36:34,2194
3DS_LIB,0:37:11,2231
3DS_LIB,0:38:58,2338
3DS_LIB,0:38:59,2339
3DS_LIB,0:39:01,2341
3DS_LIB,0:39:14,2354
3DS_LIB,0:39:36,2376
3DS_LIB,0:39:47,2387
3DS_LIB,0:40:06,2406
3DS_LIB,0:40:14,2414
3DS_LIB,0:40:22,2422
3DS_LIB,0:40:32,2432
3DS_LIB,0:40:50,2450
3DS_LIB,0:40:50,2450
3DS_LIB,0:40:52,2452
3DS_LIB,0:41:19,2479
3DS_LIB,0:41:21,2481
3DS_LIB,0:41:24,2484
3DS_LIB,0:41:26,2486
3DS_LIB,0:41:28,2488
3DS_LIB,0:41:31,2491
3DS_LIB,0:41:48,2508
3DS_LIB,0:41:52,2512
3DS_LIB,0:42:05,2525
3DS_LIB,0:42:54,2574
3DS_LIB,0:43:05,2585
3DS_LIB,0:43:09,2589
3DS_LIB,0:43:12,2592
3DS_LIB,0:43:21,2601
3DS_LIB,0:43:24,2604
3DS_LIB,0:43:33,2613
3DS_LIB,0:43:38,2618
3DS_LIB,0:45:40,2740
3DS_LIB,0:47:39,2859
3DS_LIB,0:48:38,2918
3DS_LIB,0:48:50,2930
3DS_LIB,0:49:08,2948
3DS_LIB,0:49:30,2970
3DS_LIB,0:49:49,2989
3DS_LIB,0:50:15,3015
3DS_LIB,0:50:39,3039
3DS_LIB,0:50:53,3053
3DS_LIB,0:51:23,3083
3DS_LIB,0:51:41,3101
3DS_LIB,0:51:51,3111
3DS_LIB,0:52:09,3129
3DS_LIB,0:52:23,3143
3DS_LIB,0:52:24,3144
3DS_LIB,0:52:47,3167
3DS_LIB,0:54:17,3257
3DS_LIB,0:54:32,3272
3DS_LIB,0:55:50,3350
3DS_LIB,0:56:01,3361
3DS_LIB,0:56:24,3384
3DS_LIB,0:57:07,3427
3DS_LIB,0:57:36,3456
3DS_LIB,0:57:53,3473
3DS_LIB,0:57:54,3474
3DS_LIB,0:57:57,3477
3DS_LIB,0:58:29,3509
3DS_LIB,0:58:58,3538
3DS_LIB,0:59:08,3548
3DS_LIB,0:59:31,3571
