user,group,jobname,length
ramarty,ad-reu,runscript_casestudy.txt,152
ramarty,ad-reu,runscript_casestudy.txt,153
ramarty,ad-reu,runscript_casestudy.txt,154
ramarty,ad-reu,runscript_casestudy.txt,157
ramarty,ad-reu,runscript_casestudy.txt,158
ramarty,ad-reu,runscript_casestudy.txt,161
ramarty,ad-reu,runscript_casestudy.txt,165
ramarty,ad-reu,runscript_casestudy.txt,171
ramarty,ad-reu,runscript_casestudy.txt,176
ramarty,ad-reu,runscript_casestudy.txt,184
ramarty,ad-reu,runscript_casestudy.txt,184
ramarty,ad-reu,runscript_casestudy.txt,184
ramarty,ad-reu,runscript_casestudy.txt,188
ramarty,ad-reu,runscript_casestudy.txt,188
ramarty,ad-reu,runscript_casestudy.txt,191
ramarty,ad-reu,runscript_casestudy.txt,191
ramarty,ad-reu,runscript_casestudy.txt,192
ramarty,ad-reu,runscript_casestudy.txt,192
ramarty,ad-reu,runscript_casestudy.txt,201
ramarty,ad-reu,runscript_casestudy.txt,203
ramarty,ad-reu,runscript_casestudy.txt,213
ramarty,ad-reu,runscript_casestudy.txt,202
ramarty,ad-reu,runscript_casestudy.txt,229
ramarty,ad-reu,runscript_casestudy.txt,231
ramarty,ad-reu,runscript_casestudy.txt,233
ramarty,ad-reu,runscript_casestudy.txt,234
ramarty,ad-reu,runscript_casestudy.txt,235
ramarty,ad-reu,runscript_casestudy.txt,245
ramarty,ad-reu,runscript_casestudy.txt,254
ramarty,ad-reu,runscript_casestudy.txt,242
ramarty,ad-reu,runscript_casestudy.txt,242
ramarty,ad-reu,runscript_casestudy.txt,242
ramarty,ad-reu,runscript_casestudy.txt,243
ramarty,ad-reu,runscript_casestudy.txt,245
ramarty,ad-reu,runscript_casestudy.txt,250
ramarty,ad-reu,runscript_casestudy.txt,259
ramarty,ad-reu,runscript_casestudy.txt,259
ramarty,ad-reu,runscript_casestudy.txt,262
ramarty,ad-reu,runscript_casestudy.txt,263
ramarty,ad-reu,runscript_casestudy.txt,264
ramarty,ad-reu,runscript_casestudy.txt,268
ramarty,ad-reu,runscript_casestudy.txt,269
ramarty,ad-reu,runscript_casestudy.txt,269
ramarty,ad-reu,runscript_casestudy.txt,272
ramarty,ad-reu,runscript_casestudy.txt,272
ramarty,ad-reu,runscript_casestudy.txt,275
ramarty,ad-reu,runscript_casestudy.txt,283
ramarty,ad-reu,runscript_casestudy.txt,284
ramarty,ad-reu,runscript_casestudy.txt,293
ramarty,ad-reu,runscript_casestudy.txt,296
ramarty,ad-reu,runscript_casestudy.txt,302
ramarty,ad-reu,runscript_casestudy.txt,302
ramarty,ad-reu,runscript_casestudy.txt,303
ramarty,ad-reu,runscript_casestudy.txt,319
ramarty,ad-reu,runscript_casestudy.txt,322
ramarty,ad-reu,runscript_casestudy.txt,323
ramarty,ad-reu,runscript_casestudy.txt,330
ramarty,ad-reu,runscript_casestudy.txt,332
ramarty,ad-reu,runscript_casestudy.txt,333
ramarty,ad-reu,runscript_casestudy.txt,335
ramarty,ad-reu,runscript_casestudy.txt,335
ramarty,ad-reu,runscript_casestudy.txt,321
ramarty,ad-reu,runscript_casestudy.txt,322
ramarty,ad-reu,runscript_casestudy.txt,322
ramarty,ad-reu,runscript_casestudy.txt,322
ramarty,ad-reu,runscript_casestudy.txt,336
ramarty,ad-reu,runscript_casestudy.txt,336
ramarty,ad-reu,runscript_casestudy.txt,340
ramarty,ad-reu,runscript_casestudy.txt,342
ramarty,ad-reu,runscript_casestudy.txt,342
ramarty,ad-reu,runscript_casestudy.txt,342
ramarty,ad-reu,runscript_casestudy.txt,350
ramarty,ad-reu,runscript_casestudy.txt,352
ramarty,ad-reu,runscript_casestudy.txt,354
ramarty,ad-reu,runscript_casestudy.txt,359
ramarty,ad-reu,runscript_casestudy.txt,359
ramarty,ad-reu,runscript_casestudy.txt,361
ramarty,ad-reu,runscript_casestudy.txt,372
ramarty,ad-reu,runscript_casestudy.txt,378
ramarty,ad-reu,runscript_casestudy.txt,361
ramarty,ad-reu,runscript_casestudy.txt,362
ramarty,ad-reu,runscript_casestudy.txt,373
ramarty,ad-reu,runscript_casestudy.txt,383
ramarty,ad-reu,runscript_casestudy.txt,392
ramarty,ad-reu,runscript_casestudy.txt,409
ramarty,ad-reu,runscript_casestudy.txt,419
ramarty,ad-reu,runscript_casestudy.txt,419
ramarty,ad-reu,runscript_casestudy.txt,429
ramarty,ad-reu,runscript_casestudy.txt,448
ramarty,ad-reu,runscript_casestudy.txt,451
ramarty,ad-reu,runscript_casestudy.txt,451
ramarty,ad-reu,runscript_casestudy.txt,456
ramarty,ad-reu,runscript_casestudy.txt,456
ramarty,ad-reu,runscript_casestudy.txt,456
ramarty,ad-reu,runscript_casestudy.txt,456
ramarty,ad-reu,runscript_casestudy.txt,457
ramarty,ad-reu,runscript_casestudy.txt,458
ramarty,ad-reu,runscript_casestudy.txt,458
ramarty,ad-reu,runscript_casestudy.txt,458
ramarty,ad-reu,runscript_casestudy.txt,459
ramarty,ad-reu,runscript_casestudy.txt,459
ramarty,ad-reu,runscript_casestudy.txt,459
ramarty,ad-reu,runscript_casestudy.txt,459
ramarty,ad-reu,runscript_casestudy.txt,460
ramarty,ad-reu,runscript_casestudy.txt,469
ramarty,ad-reu,runscript_casestudy.txt,469
ramarty,ad-reu,runscript_casestudy.txt,470
ramarty,ad-reu,runscript_casestudy.txt,470
ramarty,ad-reu,runscript_casestudy.txt,471
ramarty,ad-reu,runscript_casestudy.txt,471
ramarty,ad-reu,runscript_casestudy.txt,471
ramarty,ad-reu,runscript_casestudy.txt,471
ramarty,ad-reu,runscript_casestudy.txt,471
ramarty,ad-reu,runscript_casestudy.txt,472
ramarty,ad-reu,runscript_casestudy.txt,472
ramarty,ad-reu,runscript_casestudy.txt,473
ramarty,ad-reu,runscript_casestudy.txt,476
ramarty,ad-reu,runscript_casestudy.txt,478
ramarty,ad-reu,runscript_casestudy.txt,478
ramarty,ad-reu,runscript_casestudy.txt,481
ramarty,ad-reu,runscript_casestudy.txt,482
ramarty,ad-reu,runscript_casestudy.txt,483
ramarty,ad-reu,runscript_casestudy.txt,492
ramarty,ad-reu,runscript_casestudy.txt,493
ramarty,ad-reu,runscript_casestudy.txt,493
ramarty,ad-reu,runscript_casestudy.txt,494
ramarty,ad-reu,runscript_casestudy.txt,494
ramarty,ad-reu,runscript_casestudy.txt,494
ramarty,ad-reu,runscript_casestudy.txt,495
ramarty,ad-reu,runscript_casestudy.txt,482
